pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190215;2;Helsinki;*;Ajoneuvoluokka;HA - PA;100;87;83;82;160;669;2474;2619;2510;1783;1239;1195;1214;1248;1298;1583;1605;1473;1266;937;709;524;384;289;25531
154;vt4_Viikinmäki;20190216;1;Lahti;*;Ajoneuvoluokka;HA - PA;298;244;225;165;179;138;152;280;417;676;933;1038;1168;1221;1388;1415;1299;1215;1061;781;598;572;551;642;16656
154;vt4_Viikinmäki;20190216;2;Helsinki;*;Ajoneuvoluokka;HA - PA;217;199;161;128;152;184;455;426;592;1019;1071;1284;1346;1300;1294;1253;1147;1158;1111;824;617;439;372;323;17072
154;vt4_Viikinmäki;20190217;1;Lahti;*;Ajoneuvoluokka;HA - PA;321;264;269;202;203;159;139;186;236;437;808;982;1029;1192;1285;1365;1301;1127;1034;876;690;582;389;143;15219
154;vt4_Viikinmäki;20190217;2;Helsinki;*;Ajoneuvoluokka;HA - PA;251;213;183;152;110;162;291;289;362;696;787;973;1140;1177;1240;1302;1258;1225;1036;899;674;374;250;141;15185
154;vt4_Viikinmäki;20190218;1;Lahti;*;Ajoneuvoluokka;HA - PA;127;97;71;50;68;152;436;752;830;735;933;950;1019;1179;1753;2747;2378;1648;1173;879;780;899;368;157;20181
154;vt4_Viikinmäki;20190218;2;Helsinki;*;Ajoneuvoluokka;HA - PA;100;69;52;41;146;675;2446;2507;2230;1525;1017;1066;1080;990;1014;1121;1263;1244;844;692;544;352;212;106;21336
154;vt4_Viikinmäki;20190219;1;Lahti;*;Ajoneuvoluokka;HA - PA;105;64;92;50;75;141;425;766;832;783;931;1009;1017;1148;1716;2807;2353;1761;1231;947;855;644;341;183;20276
154;vt4_Viikinmäki;20190219;2;Helsinki;*;Ajoneuvoluokka;HA - PA;73;50;37;49;135;648;2502;2586;2252;1544;1087;1079;1084;1007;980;1170;1238;1031;888;772;633;376;191;109;21521
154;vt4_Viikinmäki;20190220;1;Lahti;*;Ajoneuvoluokka;HA - PA;119;67;78;39;76;143;419;692;805;799;942;987;1071;1207;1735;2798;2303;1780;1287;1015;955;872;469;177;20835
154;vt4_Viikinmäki;20190220;2;Helsinki;*;Ajoneuvoluokka;HA - PA;83;57;34;49;149;677;2488;2426;2256;1550;1071;1078;1073;1049;1010;1191;1322;1325;994;766;628;421;248;124;22069
154;vt4_Viikinmäki;20190221;1;Lahti;*;Ajoneuvoluokka;HA - PA;127;79;83;56;76;151;438;731;800;803;951;994;1032;1212;1781;2620;2378;1672;1191;951;847;683;494;195;20345
154;vt4_Viikinmäki;20190221;2;Helsinki;*;Ajoneuvoluokka;HA - PA;78;58;51;46;140;664;2420;2333;2240;1436;1055;1115;1047;1022;1065;1230;1331;1159;990;797;661;471;252;126;21787
154;vt4_Viikinmäki;20190222;1;Lahti;*;Ajoneuvoluokka;HA - PA;140;79;89;69;88;130;400;661;763;758;902;1154;1211;1463;2037;2655;2126;1512;1112;850;791;1130;573;327;21020
154;vt4_Viikinmäki;20190222;2;Helsinki;*;Ajoneuvoluokka;HA - PA;82;64;50;59;143;624;2168;2054;1873;1405;1021;1138;1110;1171;1223;1365;1453;1614;1122;809;724;466;353;236;22327
154;vt4_Viikinmäki;20190223;1;Lahti;*;Ajoneuvoluokka;HA - PA;292;204;188;150;161;123;152;232;325;544;938;933;1013;1108;1188;1172;1091;1002;841;759;615;572;515;343;14461
